Region,Date,Fatalities,Year,Month,Day,Quarter
Awdal,1999.4520547945206,0,1999,6,15,2
Awdal,1999.7643835616439,1,1999,10,7,4
Awdal,2002.731506849315,5,2002,9,25,3
Awdal,2006.021917808219,0,2006,1,9,1
Awdal,2006.164383561644,0,2006,3,2,1
Awdal,2006.7753424657535,0,2006,10,11,4
Awdal,2007.1753424657534,0,2007,3,6,1
Awdal,2007.7589041095891,0,2007,10,5,4
Awdal,2008.8142076502731,1,2008,10,25,4
Awdal,2008.9426229508197,0,2008,12,11,4
Awdal,2009.0849315068492,0,2009,2,1,1
Awdal,2009.194520547945,0,2009,3,13,1
Awdal,2009.3013698630136,0,2009,4,21,2
Awdal,2009.7561643835616,6,2009,10,4,4
Awdal,2009.9315068493152,0,2009,12,7,4
Awdal,2010.5835616438355,0,2010,8,2,3
Awdal,2010.6986301369864,0,2010,9,13,3
Awdal,2010.6986301369864,0,2010,9,13,3
Awdal,2010.7150684931507,0,2010,9,19,3
Awdal,2010.786301369863,0,2010,10,15,4
Awdal,2011.4082191780822,0,2011,5,30,2
Awdal,2011.9342465753425,0,2011,12,8,4
Awdal,2012.172131147541,0,2012,3,4,1
Awdal,2012.5901639344263,0,2012,8,4,3
Awdal,2012.5901639344263,0,2012,8,4,3
Awdal,2012.9071038251366,0,2012,11,28,4
Awdal,2012.9371584699454,0,2012,12,9,4
Awdal,2012.9945355191257,1,2012,12,30,4
Awdal,2012.9972677595629,1,2012,12,31,4
Awdal,2013.0191780821917,0,2013,1,8,1
Awdal,2013.021917808219,1,2013,1,9,1
Awdal,2013.0246575342467,0,2013,1,10,1
Awdal,2013.035616438356,0,2013,1,14,1
Awdal,2013.13698630137,0,2013,2,20,1
Awdal,2013.172602739726,0,2013,3,5,1
Awdal,2013.172602739726,0,2013,3,5,1
Awdal,2013.1917808219177,0,2013,3,12,1
Awdal,2013.2493150684932,1,2013,4,2,2
Awdal,2013.4027397260274,0,2013,5,28,2
Awdal,2013.4520547945206,0,2013,6,15,2
Awdal,2013.4575342465753,1,2013,6,17,2
Awdal,2013.4931506849316,0,2013,6,30,2
Awdal,2013.509589041096,1,2013,7,6,3
Awdal,2013.5123287671233,0,2013,7,7,3
Awdal,2013.5287671232877,0,2013,7,13,3
Awdal,2013.6328767123289,0,2013,8,20,3
Awdal,2013.6356164383562,0,2013,8,21,3
Awdal,2013.641095890411,0,2013,8,23,3
Awdal,2013.6438356164383,0,2013,8,24,3
Awdal,2013.6602739726027,0,2013,8,30,3
Awdal,2013.6602739726027,0,2013,8,30,3
Awdal,2013.8246575342466,0,2013,10,29,4
Awdal,2013.8465753424657,0,2013,11,6,4
Awdal,2013.854794520548,0,2013,11,9,4
Awdal,2013.86301369863,0,2013,11,12,4
Awdal,2013.8794520547945,0,2013,11,18,4
Awdal,2013.9397260273972,0,2013,12,10,4
Awdal,2013.9616438356165,0,2013,12,18,4
Awdal,2013.9671232876713,0,2013,12,20,4
Awdal,2013.9671232876713,0,2013,12,20,4
Awdal,2014.0027397260274,0,2014,1,2,1
Awdal,2014.0082191780823,0,2014,1,4,1
Awdal,2014.027397260274,0,2014,1,11,1
Awdal,2014.0931506849315,0,2014,2,4,1
Awdal,2014.1013698630136,0,2014,2,7,1
Awdal,2014.1205479452055,0,2014,2,14,1
Awdal,2014.123287671233,0,2014,2,15,1
Awdal,2014.131506849315,0,2014,2,18,1
Awdal,2014.1479452054793,0,2014,2,24,1
Awdal,2014.1808219178083,0,2014,3,8,1
Awdal,2014.2164383561644,0,2014,3,21,1
Awdal,2014.2410958904109,0,2014,3,30,1
Awdal,2014.268493150685,0,2014,4,9,2
Awdal,2014.2794520547945,0,2014,4,13,2
Awdal,2014.304109589041,0,2014,4,22,2
Awdal,2014.3424657534247,0,2014,5,6,2
Awdal,2014.3424657534247,0,2014,5,6,2
Awdal,2014.3698630136987,0,2014,5,16,2
Awdal,2014.5753424657535,0,2014,7,30,3
Awdal,2014.613698630137,0,2014,8,13,3
Awdal,2014.695890410959,0,2014,9,12,3
Awdal,2014.704109589041,0,2014,9,15,3
Awdal,2014.7150684931507,0,2014,9,19,3
Awdal,2014.7232876712328,0,2014,9,22,3
Awdal,2014.7369863013698,0,2014,9,27,3
Awdal,2014.86301369863,0,2014,11,12,4
Awdal,2014.9150684931508,0,2014,12,1,4
Awdal,2014.9205479452055,0,2014,12,3,4
Awdal,2014.9424657534246,0,2014,12,11,4
Awdal,2014.9506849315069,0,2014,12,14,4
Awdal,2015.041095890411,0,2015,1,16,1
Awdal,2015.0493150684931,0,2015,1,19,1
Awdal,2015.109589041096,0,2015,2,10,1
Awdal,2015.1178082191782,0,2015,2,13,1
Awdal,2015.1534246575343,0,2015,2,26,1
Awdal,2015.1561643835616,0,2015,2,27,1
Awdal,2015.164383561644,0,2015,3,2,1
Awdal,2015.2054794520548,0,2015,3,17,1
Awdal,2015.2301369863014,0,2015,3,26,1
Awdal,2015.3534246575343,0,2015,5,10,2
Awdal,2015.3643835616438,0,2015,5,14,2
Awdal,2015.3671232876711,0,2015,5,15,2
Awdal,2015.3753424657534,0,2015,5,18,2
Awdal,2015.3890410958904,0,2015,5,23,2
Awdal,2015.4027397260274,0,2015,5,28,2
Awdal,2015.4027397260274,0,2015,5,28,2
Awdal,2015.4246575342465,0,2015,6,5,2
Awdal,2015.4520547945206,0,2015,6,15,2
Awdal,2015.4630136986302,0,2015,6,19,2
Awdal,2015.4657534246576,0,2015,6,20,2
Awdal,2015.490410958904,0,2015,6,29,2
Awdal,2015.5424657534247,0,2015,7,18,3
Awdal,2015.6082191780822,1,2015,8,11,3
Awdal,2015.690410958904,0,2015,9,10,3
Awdal,2015.704109589041,0,2015,9,15,3
Awdal,2015.7205479452055,0,2015,9,21,3
Awdal,2015.731506849315,0,2015,9,25,3
Awdal,2015.7342465753425,0,2015,9,26,3
Awdal,2015.7452054794521,0,2015,9,30,3
Awdal,2015.7589041095891,0,2015,10,5,4
Awdal,2015.7643835616439,0,2015,10,7,4
Awdal,2015.7643835616439,2,2015,10,7,4
Awdal,2015.7643835616439,0,2015,10,7,4
Awdal,2015.7753424657535,1,2015,10,11,4
Awdal,2015.7780821917809,0,2015,10,12,4
Awdal,2015.8082191780823,0,2015,10,23,4
Awdal,2015.8109589041096,0,2015,10,24,4
Awdal,2015.8246575342466,0,2015,10,29,4
Awdal,2015.849315068493,0,2015,11,7,4
Awdal,2015.854794520548,0,2015,11,9,4
Awdal,2015.86301369863,0,2015,11,12,4
Awdal,2015.8712328767124,0,2015,11,15,4
Awdal,2015.8849315068494,0,2015,11,20,4
Awdal,2015.8931506849315,0,2015,11,23,4
Awdal,2015.9205479452055,0,2015,12,3,4
Awdal,2015.9232876712329,0,2015,12,4,4
Awdal,2015.9890410958903,0,2015,12,28,4
Awdal,2015.9945205479453,0,2015,12,30,4
Awdal,2016.0027322404371,0,2016,1,2,1
Awdal,2016.0655737704917,0,2016,1,25,1
Awdal,2016.0819672131147,0,2016,1,31,1
Awdal,2016.0819672131147,0,2016,1,31,1
Awdal,2016.0901639344263,0,2016,2,3,1
Awdal,2016.0956284153006,0,2016,2,5,1
Awdal,2016.1065573770493,0,2016,2,9,1
Awdal,2016.1147540983607,0,2016,2,12,1
