Date,Region,Market,Item,Price,Year,Month,Quarter
2015.4136986301369,Awdal,Borama,"Water (potable, drinking)",3500.0,2015,6,2
2015.495890410959,Awdal,Borama,"Water (potable, drinking)",3500.0,2015,7,3
2015.5808219178082,Awdal,Borama,"Water (potable, drinking)",3500.0,2015,8,3
2015.6657534246576,Awdal,Borama,"Water (potable, drinking)",3500.0,2015,9,3
2015.7479452054795,Awdal,Borama,"Water (potable, drinking)",3500.0,2015,10,4
2015.8328767123287,Awdal,Borama,"Water (potable, drinking)",4000.0,2015,11,4
2015.9150684931508,Awdal,Borama,"Water (potable, drinking)",4000.0,2015,12,4
2016.0,Awdal,Borama,"Water (potable, drinking)",4000.0,2016,1,1
2016.0846994535518,Awdal,Borama,"Water (potable, drinking)",4000.0,2016,2,1
2016.1639344262296,Awdal,Borama,"Water (potable, drinking)",4000.0,2016,3,1
2016.2486338797814,Awdal,Borama,"Water (potable, drinking)",4000.0,2016,4,2
2016.3306010928961,Awdal,Borama,"Water (potable, drinking)",4000.0,2016,5,2
2016.4153005464482,Awdal,Borama,"Water (potable, drinking)",4000.0,2016,6,2
2016.4972677595629,Awdal,Borama,"Water (potable, drinking)",4000.0,2016,7,3
2016.5819672131147,Awdal,Borama,"Water (potable, drinking)",4000.0,2016,8,3
2016.6666666666667,Awdal,Borama,"Water (potable, drinking)",4000.0,2016,9,3
2016.7486338797814,Awdal,Borama,"Water (potable, drinking)",4000.0,2016,10,4
2016.8333333333333,Awdal,Borama,"Water (potable, drinking)",4000.0,2016,11,4
2016.9153005464482,Awdal,Borama,"Water (potable, drinking)",4000.0,2016,12,4
2017.0,Awdal,Borama,"Water (potable, drinking)",4000.0,2017,1,1
2017.0849315068492,Awdal,Borama,"Water (potable, drinking)",4000.0,2017,2,1
2017.1616438356164,Awdal,Borama,"Water (potable, drinking)",4000.0,2017,3,1
2017.2465753424658,Awdal,Borama,"Water (potable, drinking)",4000.0,2017,4,2
2017.3287671232877,Awdal,Borama,"Water (potable, drinking)",9000.0,2017,5,2
2017.4136986301369,Awdal,Borama,"Water (potable, drinking)",4500.0,2017,6,2
2017.495890410959,Awdal,Borama,"Water (potable, drinking)",4500.0,2017,7,3
2017.5808219178082,Awdal,Borama,"Water (potable, drinking)",4500.0,2017,8,3
2017.6657534246576,Awdal,Borama,"Water (potable, drinking)",4500.0,2017,9,3
