Date,Region,Market,Item,Price,Year,Month,Quarter
2015.0,Awdal,Borama,Maize (white),4000.0,2015,1,1
2015.0849315068492,Awdal,Borama,Maize (white),4000.0,2015,2,1
2015.1616438356164,Awdal,Borama,Maize (white),4000.0,2015,3,1
2015.2465753424658,Awdal,Borama,Maize (white),4000.0,2015,4,2
2015.3287671232877,Awdal,Borama,Maize (white),4000.0,2015,5,2
2015.4136986301369,Awdal,Borama,Maize (white),4120.0,2015,6,2
2015.495890410959,Awdal,Borama,Maize (white),4100.0,2015,7,3
2015.5808219178082,Awdal,Borama,Maize (white),4120.0,2015,8,3
2015.6657534246576,Awdal,Borama,Maize (white),4000.0,2015,9,3
2015.7479452054795,Awdal,Borama,Maize (white),4000.0,2015,10,4
2015.8328767123287,Awdal,Borama,Maize (white),4000.0,2015,11,4
2015.9150684931508,Awdal,Borama,Maize (white),4000.0,2015,12,4
2016.0,Awdal,Borama,Maize (white),4000.0,2016,1,1
2016.0846994535518,Awdal,Borama,Maize (white),5000.0,2016,2,1
2016.1639344262296,Awdal,Borama,Maize (white),4500.0,2016,3,1
2016.2486338797814,Awdal,Borama,Maize (white),4000.0,2016,4,2
2016.3306010928961,Awdal,Borama,Maize (white),4152.380952380952,2016,5,2
2016.4153005464482,Awdal,Borama,Maize (white),4304.761904761905,2016,6,2
2016.4972677595629,Awdal,Borama,Maize (white),4457.142857142857,2016,7,3
2016.5819672131147,Awdal,Borama,Maize (white),4609.523809523809,2016,8,3
2016.6666666666667,Awdal,Borama,Maize (white),4761.9047619047615,2016,9,3
2016.7486338797814,Awdal,Borama,Maize (white),4914.285714285714,2016,10,4
2016.8333333333333,Awdal,Borama,Maize (white),5066.666666666667,2016,11,4
2016.9153005464482,Awdal,Borama,Maize (white),5219.047619047619,2016,12,4
2017.0,Awdal,Borama,Maize (white),5371.428571428572,2017,1,1
2017.0849315068492,Awdal,Borama,Maize (white),5523.809523809524,2017,2,1
2017.1616438356164,Awdal,Borama,Maize (white),5676.190476190476,2017,3,1
2017.2465753424658,Awdal,Borama,Maize (white),5828.571428571428,2017,4,2
2017.3287671232877,Awdal,Borama,Maize (white),5980.952380952381,2017,5,2
2017.4136986301369,Awdal,Borama,Maize (white),6133.333333333334,2017,6,2
2017.495890410959,Awdal,Borama,Maize (white),6285.714285714286,2017,7,3
2017.5808219178082,Awdal,Borama,Maize (white),6438.0952380952385,2017,8,3
2017.6657534246576,Awdal,Borama,Maize (white),6590.476190476191,2017,9,3
