Station,Date,Temperature,Year,Month,Day,Quarter
BERBERA,1993.8520547945207,101.3,1993,11,8,4
BERBERA,1993.8602739726027,95.6,1993,11,11,4
BERBERA,1993.9150684931508,101.2,1993,12,1,4
BERBERA,1993.9506849315069,100.8,1993,12,14,4
BERBERA,2003.3561643835617,88.0,2003,5,11,2
BERBERA,2003.358904109589,91.4,2003,5,12,2
BERBERA,2003.3643835616438,94.6,2003,5,14,2
BERBERA,2003.3698630136987,99.5,2003,5,16,2
BERBERA,2003.372602739726,91.4,2003,5,17,2
BERBERA,2003.3753424657534,91.8,2003,5,18,2
BERBERA,2003.3780821917808,91.4,2003,5,19,2
BERBERA,2003.3808219178081,96.3,2003,5,20,2
BERBERA,2003.3835616438357,93.6,2003,5,21,2
BERBERA,2003.3890410958904,91.8,2003,5,23,2
BERBERA,2003.4,92.5,2003,5,27,2
BERBERA,2003.4027397260274,92.7,2003,5,28,2
BERBERA,2003.4054794520548,93.1,2003,5,29,2
BERBERA,2003.4082191780822,93.7,2003,5,30,2
BERBERA,2003.4136986301369,95.7,2003,6,1,2
BERBERA,2003.4164383561645,93.1,2003,6,2,2
BERBERA,2003.4191780821918,90.6,2003,6,3,2
BERBERA,2003.4219178082192,91.9,2003,6,4,2
BERBERA,2003.4246575342465,94.2,2003,6,5,2
BERBERA,2003.4356164383562,105.3,2003,6,9,2
BERBERA,2003.4383561643835,102.4,2003,6,10,2
BERBERA,2003.441095890411,101.3,2003,6,11,2
BERBERA,2003.4438356164383,102.5,2003,6,12,2
BERBERA,2003.454794520548,105.4,2003,6,16,2
BERBERA,2003.4575342465753,101.6,2003,6,17,2
BERBERA,2003.4602739726026,102.4,2003,6,18,2
BERBERA,2003.4712328767123,103.4,2003,6,22,2
BERBERA,2003.4739726027397,100.8,2003,6,23,2
BERBERA,2003.4767123287672,104.5,2003,6,24,2
BERBERA,2003.482191780822,94.5,2003,6,26,2
BERBERA,2003.4849315068493,103.3,2003,6,27,2
BERBERA,2003.4931506849316,104.4,2003,6,30,2
BERBERA,2003.495890410959,88.6,2003,7,1,3
BERBERA,2003.504109589041,101.3,2003,7,4,3
BERBERA,2003.5123287671233,99.9,2003,7,7,3
BERBERA,2003.5150684931507,104.6,2003,7,8,3
BERBERA,2003.517808219178,101.6,2003,7,9,3
BERBERA,2003.5232876712328,100.4,2003,7,11,3
BERBERA,2003.5260273972603,94.6,2003,7,12,3
BERBERA,2003.5287671232877,98.4,2003,7,13,3
BERBERA,2003.531506849315,103.0,2003,7,14,3
BERBERA,2004.896174863388,84.9,2004,11,24,4
BERBERA,2004.9153005464482,86.9,2004,12,1,4
BERBERA,2004.9398907103825,84.6,2004,12,10,4
BERBERA,2004.9426229508197,82.9,2004,12,11,4
BERBERA,2004.9453551912568,86.5,2004,12,12,4
BERBERA,2004.948087431694,85.3,2004,12,13,4
BERBERA,2004.950819672131,84.2,2004,12,14,4
BERBERA,2004.9535519125684,82.5,2004,12,15,4
BERBERA,2004.9562841530055,86.2,2004,12,16,4
BERBERA,2004.9590163934427,84.3,2004,12,17,4
BERBERA,2004.9617486338798,82.9,2004,12,18,4
BERBERA,2004.964480874317,84.3,2004,12,19,4
BERBERA,2004.967213114754,86.6,2004,12,20,4
BERBERA,2004.9699453551912,83.3,2004,12,21,4
BERBERA,2004.9726775956285,85.0,2004,12,22,4
BERBERA,2004.98087431694,82.7,2004,12,25,4
BERBERA,2004.983606557377,85.1,2004,12,26,4
BERBERA,2004.9863387978141,85.1,2004,12,27,4
BERBERA,2004.9890710382513,79.1,2004,12,28,4
BERBERA,2004.9918032786886,79.5,2004,12,29,4
BERBERA,2004.9945355191257,79.3,2004,12,30,4
BERBERA,2004.9972677595629,78.1,2004,12,31,4
BERBERA,2005.0,78.7,2005,1,1,1
BERBERA,2005.0027397260274,81.5,2005,1,2,1
BERBERA,2005.0054794520547,78.4,2005,1,3,1
BERBERA,2005.0082191780823,81.8,2005,1,4,1
BERBERA,2005.013698630137,80.7,2005,1,6,1
BERBERA,2005.0191780821917,80.5,2005,1,8,1
BERBERA,2005.021917808219,81.5,2005,1,9,1
BERBERA,2005.0246575342467,78.3,2005,1,10,1
BERBERA,2005.027397260274,84.1,2005,1,11,1
BERBERA,2005.0301369863014,82.6,2005,1,12,1
BERBERA,2005.0328767123287,82.3,2005,1,13,1
BERBERA,2005.0465753424658,82.9,2005,1,18,1
BERBERA,2005.0493150684931,81.2,2005,1,19,1
BERBERA,2005.0630136986301,80.2,2005,1,24,1
BERBERA,2005.0684931506848,83.2,2005,1,26,1
BERBERA,2005.0712328767124,81.4,2005,1,27,1
BERBERA,2005.0739726027398,81.1,2005,1,28,1
BERBERA,2005.0767123287671,81.7,2005,1,29,1
BERBERA,2005.0794520547945,80.6,2005,1,30,1
BERBERA,2005.0821917808219,80.6,2005,1,31,1
BERBERA,2005.0849315068492,78.0,2005,2,1,1
BERBERA,2005.0904109589042,81.2,2005,2,3,1
BERBERA,2005.0958904109589,80.9,2005,2,5,1
BERBERA,2005.1013698630136,82.3,2005,2,7,1
BERBERA,2005.1041095890412,79.5,2005,2,8,1
BERBERA,2005.1068493150685,80.7,2005,2,9,1
BERBERA,2005.109589041096,87.3,2005,2,10,1
BERBERA,2005.1150684931506,86.1,2005,2,12,1
BERBERA,2005.1178082191782,82.8,2005,2,13,1
BERBERA,2005.1205479452055,83.6,2005,2,14,1
BERBERA,2005.145205479452,81.6,2005,2,23,1
BERBERA,2005.1479452054793,84.9,2005,2,24,1
BERBERA,2005.164383561644,84.6,2005,3,2,1
BERBERA,2005.1671232876713,82.4,2005,3,3,1
BERBERA,2005.1753424657534,86.3,2005,3,6,1
BERBERA,2005.1780821917807,86.4,2005,3,7,1
BERBERA,2005.1808219178083,84.8,2005,3,8,1
BERBERA,2005.1835616438357,84.0,2005,3,9,1
BERBERA,2005.186301369863,84.1,2005,3,10,1
BERBERA,2005.1890410958904,85.6,2005,3,11,1
BERBERA,2005.194520547945,85.2,2005,3,13,1
BERBERA,2005.1972602739727,83.7,2005,3,14,1
BERBERA,2005.2,84.0,2005,3,15,1
BERBERA,2005.2027397260274,84.7,2005,3,16,1
BERBERA,2005.2054794520548,87.4,2005,3,17,1
BERBERA,2005.213698630137,88.3,2005,3,20,1
BERBERA,2005.2164383561644,86.9,2005,3,21,1
BERBERA,2005.2219178082191,87.8,2005,3,23,1
BERBERA,2005.2246575342465,85.4,2005,3,24,1
BERBERA,2005.2328767123288,86.4,2005,3,27,1
BERBERA,2005.2356164383561,87.2,2005,3,28,1
BERBERA,2005.2383561643835,86.5,2005,3,29,1
BERBERA,2005.2410958904109,87.5,2005,3,30,1
BERBERA,2005.2493150684932,81.2,2005,4,2,2
BERBERA,2005.2547945205479,85.5,2005,4,4,2
BERBERA,2005.2575342465752,86.1,2005,4,5,2
BERBERA,2005.2602739726028,87.2,2005,4,6,2
BERBERA,2005.2630136986302,86.0,2005,4,7,2
BERBERA,2005.2657534246575,86.4,2005,4,8,2
BERBERA,2005.2712328767122,87.0,2005,4,10,2
BERBERA,2005.2739726027398,88.3,2005,4,11,2
BERBERA,2005.2767123287672,87.6,2005,4,12,2
BERBERA,2005.2794520547945,87.0,2005,4,13,2
BERBERA,2005.295890410959,84.7,2005,4,19,2
BERBERA,2005.309589041096,86.5,2005,4,24,2
BERBERA,2005.3123287671233,88.7,2005,4,25,2
BERBERA,2005.3150684931506,87.5,2005,4,26,2
BERBERA,2005.317808219178,86.1,2005,4,27,2
BERBERA,2005.331506849315,91.0,2005,5,2,2
BERBERA,2005.3342465753424,91.9,2005,5,3,2
BERBERA,2005.33698630137,92.9,2005,5,4,2
BERBERA,2005.3397260273973,89.8,2005,5,5,2
BERBERA,2005.3479452054794,93.0,2005,5,8,2
BERBERA,2005.3506849315067,94.9,2005,5,9,2
BERBERA,2005.3534246575343,91.2,2005,5,10,2
BERBERA,2005.3561643835617,91.2,2005,5,11,2
BERBERA,2005.3643835616438,92.8,2005,5,14,2
BERBERA,2005.3671232876711,92.1,2005,5,15,2
BERBERA,2005.3698630136987,93.4,2005,5,16,2
BERBERA,2005.372602739726,89.4,2005,5,17,2
BERBERA,2005.3753424657534,93.1,2005,5,18,2
BERBERA,2005.3780821917808,94.1,2005,5,19,2
BERBERA,2005.386301369863,91.1,2005,5,22,2
BERBERA,2005.3890410958904,96.0,2005,5,23,2
BERBERA,2005.3917808219178,88.2,2005,5,24,2
BERBERA,2005.3945205479451,93.1,2005,5,25,2
BERBERA,2005.3972602739725,91.5,2005,5,26,2
BERBERA,2005.4054794520548,96.8,2005,5,29,2
BERBERA,2005.4082191780822,97.9,2005,5,30,2
BERBERA,2005.4109589041095,102.3,2005,5,31,2
BERBERA,2005.4136986301369,96.8,2005,6,1,2
BERBERA,2005.4246575342465,102.6,2005,6,5,2
BERBERA,2005.427397260274,98.7,2005,6,6,2
BERBERA,2005.4301369863015,100.3,2005,6,7,2
BERBERA,2005.4328767123288,101.6,2005,6,8,2
BERBERA,2005.4438356164383,103.6,2005,6,12,2
BERBERA,2005.4465753424658,106.2,2005,6,13,2
BERBERA,2005.4493150684932,101.2,2005,6,14,2
BERBERA,2005.4520547945206,104.8,2005,6,15,2
BERBERA,2005.4602739726026,104.9,2005,6,18,2
BERBERA,2005.4630136986302,100.7,2005,6,19,2
BERBERA,2005.4657534246576,101.8,2005,6,20,2
BERBERA,2005.4712328767123,103.3,2005,6,22,2
BERBERA,2005.4767123287672,95.5,2005,6,24,2
BERBERA,2005.4849315068493,106.2,2005,6,27,2
BERBERA,2005.4931506849316,97.7,2005,6,30,2
BERBERA,2005.504109589041,102.9,2005,7,4,3
BERBERA,2005.5068493150684,103.5,2005,7,5,3
BERBERA,2005.509589041096,102.1,2005,7,6,3
