Station Name,Latitude,Longitude,Date,Mean Temperature,Maximum Temperature,Minimum Temperature,Precipitation,Mean Wind Speed
BERBERA,+10.389,+044.941,20030511,88.0,93.6,81.0,0.00,7.8
BERBERA,+10.389,+044.941,20030512,91.4,98.8,81.3,0.00,9.3
BERBERA,+10.389,+044.941,20030514,94.6,105.3,83.3,0.28,2.8
BERBERA,+10.389,+044.941,20030516,99.5,102.2,98.6,0.00,9.6
BERBERA,+10.389,+044.941,20030517,91.4,93.2,89.6,0.00,9.2
BERBERA,+10.389,+044.941,20030518,91.8,101.7,80.1,0.00,5.6
BERBERA,+10.389,+044.941,20030519,91.4,93.6,87.8,0.00,6.4
BERBERA,+10.389,+044.941,20030520,96.3,104.2,83.8,0.00,8.3
BERBERA,+10.389,+044.941,20030521,93.6,102.2,85.6,0.00,5.5
BERBERA,+10.389,+044.941,20030523,91.8,93.2,91.4,0.00,9.0
BERBERA,+10.389,+044.941,20030527,92.5,95.5,82.9,0.00,15.1
BERBERA,+10.389,+044.941,20030528,92.7,96.4,81.9,0.00,9.9
BERBERA,+10.389,+044.941,20030529,93.1,96.3,87.8,0.00,6.8
BERBERA,+10.389,+044.941,20030530,93.7,100.4,86.0,0.00,4.8
BERBERA,+10.389,+044.941,20030601,95.7,99.7,93.6,0.00,9.4
BERBERA,+10.389,+044.941,20030602,93.1,97.0,83.3,0.00,9.2
BERBERA,+10.389,+044.941,20030603,90.6,96.4,82.6,0.00,6.3
BERBERA,+10.389,+044.941,20030604,91.9,95.0,89.6,0.00,11.3
BERBERA,+10.389,+044.941,20030605,94.2,95.0,80.2,0.00,8.0
BERBERA,+10.389,+044.941,20030609,105.3,116.1,100.4,0.00,20.6
BERBERA,+10.389,+044.941,20030610,102.4,108.1,87.6,0.00,
BERBERA,+10.389,+044.941,20030611,101.3,112.3,86.9,0.00,14.0
BERBERA,+10.389,+044.941,20030612,102.5,111.2,90.9,0.00,21.7
BERBERA,+10.389,+044.941,20030616,105.4,111.2,90.5,0.00,19.7
BERBERA,+10.389,+044.941,20030617,101.6,108.7,95.0,0.00,34.6
BERBERA,+10.389,+044.941,20030618,102.4,109.4,74.1,0.00,25.3
BERBERA,+10.389,+044.941,20030622,103.4,111.2,91.0,0.00,18.3
BERBERA,+10.389,+044.941,20030623,100.8,110.3,93.2,0.00,20.4
BERBERA,+10.389,+044.941,20030624,104.5,112.3,93.2,0.00,19.3
BERBERA,+10.389,+044.941,20030626,94.5,109.4,,0.00,20.3
BERBERA,+10.389,+044.941,20030627,103.3,109.4,93.2,0.00,20.6
BERBERA,+10.389,+044.941,20030630,104.4,110.5,90.7,0.00,25.0
BERBERA,+10.389,+044.941,20030701,88.6,111.7,68.0,0.00,15.6
BERBERA,+10.389,+044.941,20030704,101.3,107.6,95.0,0.00,22.0
BERBERA,+10.389,+044.941,20030707,99.9,105.6,90.9,0.00,29.8
BERBERA,+10.389,+044.941,20030708,104.6,109.4,90.0,0.00,27.5
BERBERA,+10.389,+044.941,20030709,101.6,109.2,91.8,0.00,24.4
BERBERA,+10.389,+044.941,20030711,100.4,109.4,93.2,0.00,24.0
BERBERA,+10.389,+044.941,20030712,94.6,107.6,69.8,0.00,22.6
BERBERA,+10.389,+044.941,20030713,98.4,111.2,75.2,0.00,19.6
BERBERA,+10.389,+044.941,20030714,103.0,111.2,91.4,0.00,22.3
BERBERA,+10.389,+044.941,20041124,84.9,91.0,76.6,0.00,10.2
BERBERA,+10.389,+044.941,20041201,86.9,93.6,70.3,0.00,6.8
BERBERA,+10.389,+044.941,20041210,84.6,87.8,78.8,0.00,9.0
BERBERA,+10.389,+044.941,20041211,82.9,87.8,73.2,0.00,8.3
BERBERA,+10.389,+044.941,20041212,86.5,89.6,70.3,0.00,7.4
BERBERA,+10.389,+044.941,20041213,85.3,92.5,71.4,0.00,6.5
BERBERA,+10.389,+044.941,20041214,84.2,90.9,71.1,0.00,10.6
BERBERA,+10.389,+044.941,20041215,82.5,90.9,69.6,0.00,7.9
BERBERA,+10.389,+044.941,20041216,86.2,89.2,69.3,0.00,7.0
BERBERA,+10.389,+044.941,20041217,84.3,93.6,69.6,0.00,8.0
BERBERA,+10.389,+044.941,20041218,82.9,86.5,82.4,0.00,7.9
BERBERA,+10.389,+044.941,20041219,84.3,88.2,70.0,0.00,9.1
BERBERA,+10.389,+044.941,20041220,86.6,91.9,71.8,0.00,8.2
BERBERA,+10.389,+044.941,20041221,83.3,86.0,72.7,0.00,7.2
BERBERA,+10.389,+044.941,20041222,85.0,86.0,80.6,0.00,9.0
BERBERA,+10.389,+044.941,20041225,82.7,85.1,71.4,0.00,11.4
BERBERA,+10.389,+044.941,20041226,85.1,87.8,82.4,0.00,7.2
BERBERA,+10.389,+044.941,20041227,85.1,93.2,77.0,0.00,6.0
BERBERA,+10.389,+044.941,20041228,79.1,85.5,75.2,0.00,11.8
BERBERA,+10.389,+044.941,20041229,79.5,88.5,68.7,0.00,14.4
BERBERA,+10.389,+044.941,20041230,79.3,82.4,71.6,0.00,14.4
BERBERA,+10.389,+044.941,20041231,78.1,81.9,63.1,0.00,11.8
BERBERA,+10.389,+044.941,20050101,78.7,80.6,63.3,0.00,6.8
BERBERA,+10.389,+044.941,20050102,81.5,90.1,79.2,0.00,9.2
BERBERA,+10.389,+044.941,20050103,78.4,90.1,63.3,0.00,7.6
BERBERA,+10.389,+044.941,20050104,81.8,90.3,61.3,0.00,9.8
BERBERA,+10.389,+044.941,20050106,80.7,92.7,68.0,0.00,8.7
BERBERA,+10.389,+044.941,20050108,80.5,82.4,69.6,0.00,6.4
BERBERA,+10.389,+044.941,20050109,81.5,92.7,67.6,0.00,8.1
BERBERA,+10.389,+044.941,20050110,78.3,87.4,66.2,0.00,8.4
BERBERA,+10.389,+044.941,20050111,84.1,90.1,69.4,0.00,6.7
BERBERA,+10.389,+044.941,20050112,82.6,90.1,69.4,0.00,6.7
BERBERA,+10.389,+044.941,20050113,82.3,94.1,67.5,0.00,6.7
BERBERA,+10.389,+044.941,20050118,82.9,93.4,80.6,0.00,11.4
BERBERA,+10.389,+044.941,20050119,81.2,82.4,70.3,0.00,8.2
BERBERA,+10.389,+044.941,20050124,80.2,84.2,71.1,0.00,5.0
