Season,Zone,Region,District,LZ System,LZ Type,Livelihood Zone,LZ pop..,"Stressed
IPC Phase 2","Crisis
IPC Phase 3","Emergency
IPC Phase 4","Catastrophe
IPC Phase 5"
2016 (Feb-Jun),North West,Awdal,Borama,Agro-Pastoral,Rural,Northwest Agro-pastoral,"63,752","23,907","27,095",0,0
2016 (Feb-Jun),North West,Awdal,Borama,Pastoral,Rural,West Golis Pastoral,"57,377","12,910",0,0,0
2016 (Feb-Jun),North West,Awdal,Borama,Pastoral,Rural,Guban Pastoral,"6,375","1,355","1,434",0,0
2016 (Feb-Jun),North West,Awdal,Baki,Pastoral,Rural,Guban Pastoral,"4,632",984,"1,042",0,0
2016 (Feb-Jun),North West,Awdal,Baki,Agro-Pastoral,Rural,Northwest Agro-pastoral,"13,896","5,211","5,906",0,0
2016 (Feb-Jun),North West,Awdal,Baki,Pastoral,Rural,West Golis Pastoral,"74,114","16,676",0,0,0
2016 (Feb-Jun),North West,Awdal,Lughaye,Pastoral,Rural,Guban Pastoral,"81,997","17,424","18,449",0,0
2016 (Feb-Jun),North West,Awdal,Lughaye,Pastoral,Rural,West Golis Pastoral,"4,555","1,025",0,0,0
2016 (Feb-Jun),North West,Awdal,Zeylac,Pastoral,Rural,Guban Pastoral,"67,924","14,434","15,283",0,0
2016 (Feb-Jun),North West,Awdal,Zeylac,Pastoral,Rural,West Golis Pastoral,"2,830",637,0,0,0
2016 (Feb-Jun),North West,Awdal,Borama,Urban,Urban,Urban,"271,045",0,0,0,0
2016 (Feb-Jun),North West,Awdal,Baki,Urban,Urban,Urban,"4,243",0,0,0,0
2016 (Feb-Jun),North West,Awdal,Lughaye,Urban,Urban,Urban,"6,407",0,0,0,0
2016 (Feb-Jun),North West,Awdal,Zeylac,Urban,Urban,Urban,"6,127",0,0,0,0
2016 (Feb-Jun),North West,Awdal,Borama,IDP,IDP,IDP,60,60,0,0,0
2016 (Feb-Jun),North West,Awdal,Baki,IDP,IDP,IDP,0,0,0,0,0
2016 (Feb-Jun),North West,Awdal,Lughaye,IDP,IDP,IDP,"7,860","7,860",0,0,0
